time,event,event_type,run_impact,comment,source_doc
2026-04-25,Создан каталог `D:\HOME_BASE\VKR_Experiments`,note,none,Пункт: 1 | Результат: Выполнено | Основной каталог размещён на Windows-хосте,00_docs\stage_4_0_log.md
2026-04-25,Создан начальный `ManifestCfg` стенда,validation,medium,"Пункт: 2 | Результат: Выполнено, черновая версия | Файл `configs/stand_manifest_initial.yaml`; фактические параметры, ещё не проверенные на стенде, помечены как `TBD` / `not_installed_yet`",00_docs\stage_4_0_log.md
2026-04-25,Подготовлен чек-лист установки и первичной настройки `VPLC_HOST`,config,blocking,Пункт: 3-7 | Результат: Подготовлено к выполнению | Файл `00_docs/vplc_host_setup_checklist.md`; установка Ubuntu и настройка mini-PC ещё не выполнялись,00_docs\stage_4_0_log.md
2026-04-25,Установлена Ubuntu Server 22.04.5 LTS на mini-PC `VPLC_HOST`,validation,none,"Пункт: 3 | Результат: Выполнено по сообщению оператора | Mini-PC перезагружен, вход под пользовательским логином выполнен; фактическая версия ОС и ядра подлежат проверке командами `hostnamectl` и `uname -a`",00_docs\stage_4_0_log.md
2026-04-25,Выполнено физическое подключение стендового Ethernet-сегмента,validation,none,Пункт: 4-5 | Результат: Подготовлено к проверке | `ENG_NODE`: свободная сетевая карта `Ethernet 2 - Realtek USB GbE Family Controller` подключена к коммутатору стенда; `VPLC_HOST`: один из Ethernet-портов подключён к коммутатору; интернета в стендовом сегменте нет,00_docs\stage_4_0_log.md
2026-04-25,Настроен статический IP `VPLC_HOST`,config,none,Пункт: 4 | Результат: Выполнено | Файл netplan `/etc/netplan/50-cloud-init.yaml`; интерфейс `enp2s0`; адрес `192.168.10.20/24`; предупреждение `Cannot call Open vSwitch...` не блокирует применение конфигурации,00_docs\stage_4_0_log.md
2026-04-25,Проверена связь `VPLC_HOST -> ENG_NODE`,validation,medium,"Пункт: 5 | Результат: Частично выполнено | `ping -c 4 192.168.10.30`: 4 transmitted, 4 received, 0% packet loss; проверка `ENG_NODE -> VPLC_HOST` и связь с `HW_PLC` ещё впереди",00_docs\stage_4_0_log.md
2026-04-25,Проверена связь `ENG_NODE -> VPLC_HOST`,validation,medium,"Пункт: 5 | Результат: Частично выполнено | `ping 192.168.10.20`: отправлено 4, получено 4, потерь 0%; min/avg/max примерно 1/1/2 мс; связь с `HW_PLC` ещё впереди",00_docs\stage_4_0_log.md
2026-04-25,Проверка связи с `HW_PLC` отложена,validation,medium,"Пункт: 5 | Результат: Отложено | IP-адрес аппаратного PLC ещё не назначен, так как TIA Portal ещё не установлен; до этого завершается подготовка `VPLC_HOST`",00_docs\stage_4_0_log.md
2026-04-25,Проверен SSH-доступ к `VPLC_HOST`,validation,medium,Пункт: 6 | Результат: Частично выполнено | `systemctl status ssh`: active/running; порт 22 слушает IPv4/IPv6; `ssh vkr@192.168.10.20` с `ENG_NODE` выполнен успешно; установка базовых утилит ещё впереди,00_docs\stage_4_0_log.md
2026-04-25,Временно подключён интернет на `VPLC_HOST` через Wi-Fi,config,none,"Пункт: 6 | Результат: Подготовлено к установке утилит | `wlo1`: `192.168.31.109/24`, default route через `192.168.31.1`; `enp2s0` сохранён как стендовый интерфейс `192.168.10.20/24`; `ping 8.8.8.8` и `ping archive.ubuntu.com`: 0% потерь",00_docs\stage_4_0_log.md
