object,baseline_mode_id,compared_mode_id,metric,baseline_value,compared_value,delta,relative_delta_pct,interpretation
HW_PLC,S7_L0_IDLE_10_20,S7_L1_LIGHT_10_20,median_Tper,0.575,4.9615,4.3865,762.869565217,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L1_LIGHT_10_20,Q99_Tper,1.39,7.307,5.917,425.683453237,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L1_LIGHT_10_20,Q999_Tper,1.733,7.737,6.004,346.451240623,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L1_LIGHT_10_20,Rmiss,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L1_LIGHT_10_20,Lburst,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L2_MEDIUM_25_35,median_Tper,0.575,18.059,17.484,3040.695652174,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L2_MEDIUM_25_35,Q99_Tper,1.39,24.819,23.429,1685.539568345,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L2_MEDIUM_25_35,Q999_Tper,1.733,25.464,23.731,1369.35949221,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L2_MEDIUM_25_35,Rmiss,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L2_MEDIUM_25_35,Lburst,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_HIGH_75_100,median_Tper,0.575,73.1555,72.5805,12622.695652174,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_HIGH_75_100,Q99_Tper,1.39,83.569,82.179,5912.158273381,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_HIGH_75_100,Q999_Tper,1.733,86.721,84.988,4904.09694172,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_HIGH_75_100,Rmiss,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_HIGH_75_100,Lburst,0,0,0,,lower_or_equal_to_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_STRESS_75_80,median_Tper,0.575,73.1045,72.5295,12613.826086957,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_STRESS_75_80,Q99_Tper,1.39,83.669,82.279,5919.352517986,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_STRESS_75_80,Q999_Tper,1.733,86.208,84.475,4874.495095211,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_STRESS_75_80,Rmiss,0,0.0288,0.0288,,higher_than_baseline
HW_PLC,S7_L0_IDLE_10_20,S7_L3_STRESS_75_80,Lburst,0,1,1,,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L1_LIGHT_10_20,median_Tper,10,10,0,0,lower_or_equal_to_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L1_LIGHT_10_20,Q99_Tper,17,23,6,35.294117647,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L1_LIGHT_10_20,Q999_Tper,27,30,3,11.111111111,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L1_LIGHT_10_20,Rmiss,0.005633803,0.00624874,0.000614937,10.915131395,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L1_LIGHT_10_20,Lburst,1,1,0,0,lower_or_equal_to_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L2_MEDIUM_25_35,median_Tper,10,25,15,150,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L2_MEDIUM_25_35,Q99_Tper,17,45,28,164.705882353,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L2_MEDIUM_25_35,Q999_Tper,27,54,27,100,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L2_MEDIUM_25_35,Rmiss,0.005633803,0.011011011,0.005377208,95.445438898,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L2_MEDIUM_25_35,Lburst,1,1,0,0,lower_or_equal_to_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_HIGH_75_100,median_Tper,10,75,65,650,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_HIGH_75_100,Q99_Tper,17,98,81,476.470588235,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_HIGH_75_100,Q999_Tper,27,105,78,288.888888889,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_HIGH_75_100,Rmiss,0.005633803,0.0024,-0.003233803,-57.400001384,lower_or_equal_to_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_HIGH_75_100,Lburst,1,1,0,0,lower_or_equal_to_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_STRESS_75_80,median_Tper,10,75,65,650,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_STRESS_75_80,Q99_Tper,17,97,80,470.588235294,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_STRESS_75_80,Q999_Tper,27,98,71,262.962962963,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_STRESS_75_80,Rmiss,0.005633803,0.0234,0.017766197,315.349986501,higher_than_baseline
vPLC_container,VPLC_L0_IDLE_10_20,VPLC_L3_STRESS_75_80,Lburst,1,1,0,0,lower_or_equal_to_baseline
