object,mode_id,run_count,rows_ok_total,t0_ms,deadline_threshold_ms,load_level,load_passes,Tper_median_of_runs_ms,Tper_q99_max_of_runs_ms,Tper_q999_max_of_runs_ms,Rmiss_total,Lburst_max,source
HW_PLC,S7_L0_IDLE_10_20,5,5000,10,20,0,0,0.575,1.39,1.733,0,0,hw_plc_s7_1200
HW_PLC,S7_L1_LIGHT_10_20,5,5000,10,20,1,32,4.9615,7.307,7.737,0,0,hw_plc_s7_1200
HW_PLC,S7_L2_MEDIUM_25_35,5,5000,25,35,2,128,18.059,24.819,25.464,0,0,hw_plc_s7_1200
HW_PLC,S7_L3_HIGH_75_100,5,5000,75,100,3,512,73.1555,83.569,86.721,0,0,hw_plc_s7_1200
HW_PLC,S7_L3_STRESS_75_80,5,5000,75,80,3,512,73.1045,83.669,86.208,0.0288,1,hw_plc_s7_1200
vPLC_container,VPLC_L0_IDLE_10_20,5,4970,10,20,0,0,10,17,27,0.005633803,1,vplc_internal
vPLC_container,VPLC_L1_LIGHT_10_20,5,4961,10,20,1,32,10,23,30,0.00624874,1,vplc_internal
vPLC_container,VPLC_L2_MEDIUM_25_35,5,4995,25,35,2,128,25,45,54,0.011011011,1,vplc_internal
vPLC_container,VPLC_L3_HIGH_75_100,5,5000,75,100,3,512,75,98,105,0.0024,1,vplc_internal
vPLC_container,VPLC_L3_STRESS_75_80,5,5000,75,80,3,512,75,97,98,0.0234,1,vplc_internal
