object,mode_id,run_count,metric,min,max,mean,median,span,cv,run_values
HW_PLC,S7_L0_IDLE_10_20,5,median_Tper,0.572,0.577,0.575,0.575,0.005,0.002910122,0.575;0.575;0.576;0.572;0.577
HW_PLC,S7_L0_IDLE_10_20,5,Q99_Tper,1.369,1.39,1.3796,1.378,0.021,0.005952585,1.373;1.369;1.378;1.39;1.388
HW_PLC,S7_L0_IDLE_10_20,5,Q999_Tper,1.441,1.733,1.5536,1.555,0.292,0.069147381,1.733;1.447;1.592;1.441;1.555
HW_PLC,S7_L0_IDLE_10_20,5,Rmiss,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L0_IDLE_10_20,5,Lburst,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L0_IDLE_10_20,5,DQ99,0.755,0.947,0.8232,0.814,0.192,0.080058519,0.783;0.755;0.947;0.814;0.817
HW_PLC,S7_L1_LIGHT_10_20,5,median_Tper,4.959,4.9635,4.9614,4.9615,0.0045,0.000345597,4.96;4.963;4.9635;4.959;4.9615
HW_PLC,S7_L1_LIGHT_10_20,5,Q99_Tper,7.254,7.307,7.2738,7.257,0.053,0.003100343,7.307;7.254;7.295;7.256;7.257
HW_PLC,S7_L1_LIGHT_10_20,5,Q999_Tper,7.438,7.737,7.5736,7.596,0.299,0.014559288,7.632;7.465;7.737;7.596;7.438
HW_PLC,S7_L1_LIGHT_10_20,5,Rmiss,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L1_LIGHT_10_20,5,Lburst,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L1_LIGHT_10_20,5,DQ99,0.252,0.578,0.3784,0.299,0.326,0.3616574,0.507;0.256;0.578;0.299;0.252
HW_PLC,S7_L2_MEDIUM_25_35,5,median_Tper,18.0225,18.223,18.1028,18.059,0.2005,0.004535092,18.059;18.031;18.1785;18.0225;18.223
HW_PLC,S7_L2_MEDIUM_25_35,5,Q99_Tper,24.698,24.819,24.7622,24.772,0.121,0.001617867,24.772;24.698;24.819;24.778;24.744
HW_PLC,S7_L2_MEDIUM_25_35,5,Q999_Tper,24.928,25.464,25.0956,25.041,0.536,0.007846182,25.041;24.932;25.464;25.113;24.928
HW_PLC,S7_L2_MEDIUM_25_35,5,Rmiss,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L2_MEDIUM_25_35,5,Lburst,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L2_MEDIUM_25_35,5,DQ99,0.43,1.17,0.8472,0.811,0.74,0.303172954,0.768;0.43;1.17;0.811;1.057
HW_PLC,S7_L3_HIGH_75_100,5,median_Tper,73.0925,73.2505,73.1608,73.1555,0.158,0.000791944,73.0925;73.2505;73.1085;73.197;73.1555
HW_PLC,S7_L3_HIGH_75_100,5,Q99_Tper,82.003,83.569,82.9404,82.882,1.566,0.006994069,82.882;83.535;83.569;82.713;82.003
HW_PLC,S7_L3_HIGH_75_100,5,Q999_Tper,84.095,86.721,84.7094,84.253,2.626,0.011933891,84.253;86.721;84.095;84.371;84.107
HW_PLC,S7_L3_HIGH_75_100,5,Rmiss,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L3_HIGH_75_100,5,Lburst,0,0,0,0,0,,0;0;0;0;0
HW_PLC,S7_L3_HIGH_75_100,5,DQ99,3.757,5.239,4.3002,4.192,1.482,0.123024471,3.865;5.239;3.757;4.192;4.448
HW_PLC,S7_L3_STRESS_75_80,5,median_Tper,73.061,73.197,73.1217,73.1045,0.136,0.000635766,73.147;73.1045;73.197;73.061;73.099
HW_PLC,S7_L3_STRESS_75_80,5,Q99_Tper,82.299,83.669,83.022,83.124,1.37,0.006759827,83.567;83.669;82.299;83.124;82.451
HW_PLC,S7_L3_STRESS_75_80,5,Q999_Tper,83.885,86.208,84.9526,84.45,2.323,0.012050225,84.056;86.164;84.45;86.208;83.885
HW_PLC,S7_L3_STRESS_75_80,5,Rmiss,0.027,0.031,0.0288,0.028,0.004,0.063646885,0.027;0.031;0.027;0.028;0.031
HW_PLC,S7_L3_STRESS_75_80,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
HW_PLC,S7_L3_STRESS_75_80,5,DQ99,3.475,7.563,4.834,4.126,4.088,0.298301186,4.94;7.563;4.126;4.066;3.475
vPLC_container,VPLC_L0_IDLE_10_20,5,median_Tper,10,10,10,10,0,0,10;10;10;10;10
vPLC_container,VPLC_L0_IDLE_10_20,5,Q99_Tper,16,17,16.4,16,1,0.029871826,16;16;17;16;17
vPLC_container,VPLC_L0_IDLE_10_20,5,Q999_Tper,23,27,25,25,4,0.056568542,25;23;27;26;24
vPLC_container,VPLC_L0_IDLE_10_20,5,Rmiss,0.003009027,0.009081736,0.005639105,0.005025126,0.006072709,0.386971205,0.003009027;0.009081736;0.007063572;0.005025126;0.004016064
vPLC_container,VPLC_L0_IDLE_10_20,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
vPLC_container,VPLC_L0_IDLE_10_20,5,DQ99,6,17,11.6,12,11,0.355858059,15;12;17;6;8
vPLC_container,VPLC_L1_LIGHT_10_20,5,median_Tper,10,10,10,10,0,0,10;10;10;10;10
vPLC_container,VPLC_L1_LIGHT_10_20,5,Q99_Tper,17,23,19,18,6,0.120018466,20;23;18;17;17
vPLC_container,VPLC_L1_LIGHT_10_20,5,Q999_Tper,24,30,26.6,25,6,0.09084997,25;30;29;25;24
vPLC_container,VPLC_L1_LIGHT_10_20,5,Rmiss,0.002004008,0.010141988,0.006261074,0.008056395,0.00813798,0.564546,0.009090909;0.010141988;0.008056395;0.002012072;0.002004008
vPLC_container,VPLC_L1_LIGHT_10_20,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
vPLC_container,VPLC_L1_LIGHT_10_20,5,DQ99,8,15,11.4,11,7,0.211983263,15;13;11;10;8
vPLC_container,VPLC_L2_MEDIUM_25_35,5,median_Tper,25,25,25,25,0,0,25;25;25;25;25
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Q99_Tper,26,45,35,31,19,0.226418431,31;29;26;45;44
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Q999_Tper,37,54,47.8,53,17,0.14578453,37;53;42;54;53
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Rmiss,0.004,0.02004008,0.011014425,0.006012024,0.01604008,0.670818152,0.005;0.006012024;0.004;0.02002002;0.02004008
vPLC_container,VPLC_L2_MEDIUM_25_35,5,Lburst,1,1,1,1,0,0,1;1;1;1;1
