run_id,mode_id,series_id,object,node_id,sample_index,cycle_index,cycle_counter,ts_observe,ts_start,ts_end,timestamp_tick_ns,timestamp_source,t0_ms,deadline_threshold_ms,Tper,Jper,deadline_miss,heartbeat,workload_accumulator,load_level,load_passes,error_flag,quality_flag,notes
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,133,133,134,,,,808928000,plc_internal_rd_loc_t_nanosecond,25,35,19.159,-5.841,0,1,488090274,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,134,134,135,,,,827447000,plc_internal_rd_loc_t_nanosecond,25,35,18.519,-6.481001,0,1,838449964,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,135,135,136,,,,849810000,plc_internal_rd_loc_t_nanosecond,25,35,22.363,-2.636999,0,1,1216269751,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,136,136,137,,,,867463000,plc_internal_rd_loc_t_nanosecond,25,35,17.653,-7.347,0,1,1621681731,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,137,137,138,,,,884958000,plc_internal_rd_loc_t_nanosecond,25,35,17.495,-7.504999,0,1,2054815952,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,138,138,139,,,,902506000,plc_internal_rd_loc_t_nanosecond,25,35,17.548,-7.452,0,1,368320863,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,139,139,140,,,,920435000,plc_internal_rd_loc_t_nanosecond,25,35,17.929,-7.070999,0,1,857293806,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,140,140,141,,,,937897000,plc_internal_rd_loc_t_nanosecond,25,35,17.462,-7.538,0,1,1374383230,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,141,141,142,,,,955828000,plc_internal_rd_loc_t_nanosecond,25,35,17.931,-7.069,0,1,1919719183,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,142,142,143,,,,980219000,plc_internal_rd_loc_t_nanosecond,25,35,24.391,-0.6089993,0,1,345950114,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,143,143,144,,,,999198000,plc_internal_rd_loc_t_nanosecond,25,35,18.979,-6.021,0,1,948173365,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,144,144,145,,,,18229000,plc_internal_rd_loc_t_nanosecond,25,35,19.031,-5.969,0,1,1579037385,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,145,145,146,,,,40766000,plc_internal_rd_loc_t_nanosecond,25,35,22.537,-2.462999,0,1,91188575,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,146,146,147,,,,58409000,plc_internal_rd_loc_t_nanosecond,25,35,17.643,-7.357,0,1,779726325,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,147,147,148,,,,75940000,plc_internal_rd_loc_t_nanosecond,25,35,17.531,-7.469,0,1,1497297036,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,148,148,149,,,,93572000,plc_internal_rd_loc_t_nanosecond,25,35,17.632,-7.368,0,1,96549157,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,149,149,150,,,,111471000,plc_internal_rd_loc_t_nanosecond,25,35,17.899,-7.101,0,1,872580030,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,150,150,151,,,,129263000,plc_internal_rd_loc_t_nanosecond,25,35,17.792,-7.208,0,1,1678038104,2,128,0,ok,
RUN_20260502_S7_L2_MEDIUM_25_35_S01_R02,S7_L2_MEDIUM_25_35,SER_20260502_S7_L2_MEDIUM_25_35_S01,HW_PLC,HW_PLC,151,151,152,,,,147266000,plc_internal_rd_loc_t_nanosecond,25,35,18.003,-6.997,0,1,365569780,2,128,0,ok,
