run_id,mode_id,series_id,object,node_id,sample_index,cycle_index,cycle_counter,ts_observe,ts_start,ts_end,timestamp_tick_ns,timestamp_source,t0_ms,deadline_threshold_ms,Tper,Jper,deadline_miss,heartbeat,workload_accumulator,load_level,load_passes,error_flag,quality_flag,notes
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,15,15,16,,82560,,,vplc_internal,75,100,75,0,0,0,2144739467,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,16,16,17,,82635,,,vplc_internal,75,100,75,0,0,0,1203472031,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,17,17,18,,82710,,,vplc_internal,75,100,75,0,0,0,858842292,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,18,18,19,,82785,,,vplc_internal,75,100,75,0,0,0,1112951498,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,19,19,20,,82860,,,vplc_internal,75,100,75,0,0,0,1967892705,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,20,20,21,,82935,,,vplc_internal,75,100,75,0,0,0,1278283514,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,21,21,22,,83010,,,vplc_internal,75,100,75,0,0,0,1193700628,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,22,22,23,,83085,,,vplc_internal,75,100,75,0,0,0,1716245295,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,23,23,24,,83160,,,vplc_internal,75,100,75,0,0,0,700526924,3,512,0,ok,
RUN_20260510_VPLC_L3_HIGH_75_100_S01_R01,VPLC_L3_HIGH_75_100,SER_20260510_VPLC_L3_HIGH_75_100_S01,vPLC_container,VPLC_HOST,24,24,25,,83235,,,vplc_internal,75,100,75,0,0,0,296130410,3,512,0,ok,
